language,repository,year,interval,NLOC,CCN
java,dubbo,2017,8,97270,2.7
java,dubbo,2017,12,102838,2.6
java,dubbo,2018,4,91754,2.5
java,dubbo,2018,8,86498,2.1
java,dubbo,2018,12,95245,2.0
java,dubbo,2019,4,106812,1.9
java,dubbo,2019,8,115947,1.9
java,dubbo,2019,12,130504,1.8
java,elasticsearch,2015,4,,
java,elasticsearch,2015,8,,
java,elasticsearch,2015,12,,
java,elasticsearch,2016,4,,
java,elasticsearch,2016,8,,
java,elasticsearch,2016,12,,
java,elasticsearch,2017,4,,
java,elasticsearch,2017,8,,
java,elasticsearch,2017,12,,
java,elasticsearch,2018,4,,
java,elasticsearch,2018,8,,
java,elasticsearch,2018,12,,
java,elasticsearch,2019,4,,
java,elasticsearch,2019,8,,
java,elasticsearch,2019,12,,
java,ExoPlayer,2015,4,25768,2.5
java,ExoPlayer,2015,8,31930,2.5
java,ExoPlayer,2015,12,38059,2.5
java,ExoPlayer,2016,4,41199,2.5
java,ExoPlayer,2016,8,49385,2.6
java,ExoPlayer,2016,12,56995,2.6
java,ExoPlayer,2017,4,68522,2.6
java,ExoPlayer,2017,8,81721,2.5
java,ExoPlayer,2017,12,87106,2.5
java,ExoPlayer,2018,4,103480,2.4
java,ExoPlayer,2018,8,125840,2.4
java,ExoPlayer,2018,12,133994,2.4
java,ExoPlayer,2019,4,143635,2.4
java,ExoPlayer,2019,8,150025,2.4
java,ExoPlayer,2019,12,161975,2.3
java,fastjson,2015,4,85115,1.5
java,fastjson,2015,8,92489,1.5
java,fastjson,2015,12,92512,1.5
java,fastjson,2016,4,107048,1.5
java,fastjson,2016,8,113015,1.5
java,fastjson,2016,12,115658,1.5
java,fastjson,2017,4,123442,1.6
java,fastjson,2017,8,137450,1.6
java,fastjson,2017,12,145041,1.6
java,fastjson,2018,4,147632,1.6
java,fastjson,2018,8,152943,1.6
java,fastjson,2018,12,157866,1.7
java,fastjson,2019,4,160666,1.7
java,fastjson,2019,8,161281,1.7
java,fastjson,2019,12,168038,1.6
java,flink,2015,4,248009,2.2
java,flink,2015,8,282653,2.2
java,flink,2015,12,307849,2.2
java,flink,2016,4,338275,2.2
java,flink,2016,8,380895,2.1
java,flink,2016,12,437762,2.1
java,flink,2017,4,490288,2.0
java,flink,2017,8,519253,2.0
java,flink,2017,12,554867,2.0
java,flink,2018,4,607920,1.9
java,flink,2018,8,645593,1.9
java,flink,2018,12,668305,1.9
java,flink,2019,4,725245,1.9
java,flink,2019,8,806049,1.8
java,flink,2019,12,857646,1.8
java,glide,2015,4,32856,1.5
java,glide,2015,8,35355,1.5
java,glide,2015,12,36811,1.5
java,glide,2016,4,36668,1.5
java,glide,2016,8,37356,1.5
java,glide,2016,12,37468,1.5
java,glide,2017,4,40318,1.5
java,glide,2017,8,41221,1.6
java,glide,2017,12,56038,1.5
java,glide,2018,4,58996,1.5
java,glide,2018,8,60437,1.5
java,glide,2018,12,60588,1.5
java,glide,2019,4,60676,1.5
java,glide,2019,8,64189,1.5
java,glide,2019,12,65144,1.5
java,guava,2015,4,197564,1.4
java,guava,2015,8,203681,1.5
java,guava,2015,12,231028,1.5
java,guava,2016,4,232586,1.5
java,guava,2016,8,235487,1.5
java,guava,2016,12,239999,1.5
java,guava,2017,4,247859,1.5
java,guava,2017,8,252220,1.5
java,guava,2017,12,262590,1.5
java,guava,2018,4,264189,1.5
java,guava,2018,8,264905,1.5
java,guava,2018,12,265942,1.5
java,guava,2019,4,266100,1.5
java,guava,2019,8,266409,1.5
java,guava,2019,12,268210,1.5
java,hadoop,2015,4,936706,2.0
java,hadoop,2015,8,969461,2.0
java,hadoop,2015,12,1022129,2.0
java,hadoop,2016,4,1072189,2.0
java,hadoop,2016,8,1145618,2.0
java,hadoop,2016,12,1181997,2.0
java,hadoop,2017,4,1218506,2.0
java,hadoop,2017,8,1280156,2.0
java,hadoop,2017,12,1388948,2.0
java,hadoop,2018,4,1489954,2.0
java,hadoop,2018,8,1536871,2.0
java,hadoop,2018,12,1611483,1.9
java,hadoop,2019,4,1689667,1.9
java,hadoop,2019,8,1747759,1.9
java,hadoop,2019,12,1643436,1.9
java,hazelcast,2015,4,280637,1.6
java,hazelcast,2015,8,323314,1.6
java,hazelcast,2015,12,367955,1.5
java,hazelcast,2016,4,359243,1.6
java,hazelcast,2016,8,467397,1.6
java,hazelcast,2016,12,497311,1.6
java,hazelcast,2017,4,588824,1.5
java,hazelcast,2017,8,645891,1.6
java,hazelcast,2017,12,659254,1.6
java,hazelcast,2018,4,724882,1.6
java,hazelcast,2018,8,750833,1.6
java,hazelcast,2018,12,760257,1.6
java,hazelcast,2019,4,830398,1.6
java,hazelcast,2019,8,662225,1.5
java,hazelcast,2019,12,694365,1.5
java,hibernate-orm,2015,4,457848,1.7
java,hibernate-orm,2015,8,475617,1.7
java,hibernate-orm,2015,12,484335,1.7
java,hibernate-orm,2016,4,506997,1.7
java,hibernate-orm,2016,8,534070,1.7
java,hibernate-orm,2016,12,552840,1.7
java,hibernate-orm,2017,4,567828,1.6
java,hibernate-orm,2017,8,577497,1.6
java,hibernate-orm,2017,12,580383,1.6
java,hibernate-orm,2018,4,598856,1.6
java,hibernate-orm,2018,8,613298,1.6
java,hibernate-orm,2018,12,635290,1.6
java,hibernate-orm,2019,4,643117,1.6
java,hibernate-orm,2019,8,654589,1.6
java,hibernate-orm,2019,12,664975,1.6
java,j2obc,2015,4,316252,2.1
java,j2obc,2015,8,323095,2.1
java,j2obc,2015,12,344375,2.1
java,j2obc,2016,4,363957,2.3
java,j2obc,2016,8,370208,2.3
java,j2obc,2016,12,398651,2.3
java,j2obc,2017,4,450642,2.3
java,j2obc,2017,8,492039,2.3
java,j2obc,2017,12,503091,2.3
java,j2obc,2018,4,503517,2.3
java,j2obc,2018,8,505681,2.3
java,j2obc,2018,12,769432,2.6
java,j2obc,2019,4,790333,2.6
java,j2obc,2019,8,788775,2.6
java,j2obc,2019,12,792728,2.6
java,jadx,2015,4,36762,2.6
java,jadx,2015,8,40120,2.5
java,jadx,2015,12,41050,2.5
java,jadx,2016,4,41841,2.5
java,jadx,2016,8,41869,2.5
java,jadx,2016,12,41841,2.5
java,jadx,2017,4,41855,2.5
java,jadx,2017,8,41863,2.5
java,jadx,2017,12,41909,2.5
java,jadx,2018,4,43131,2.5
java,jadx,2018,8,46000,2.5
java,jadx,2018,12,47636,2.5
java,jadx,2019,4,55063,2.5
java,jadx,2019,8,59824,2.4
java,jadx,2019,12,61436,2.4
java,jdk,2015,4,3228843,2.5
java,jdk,2015,8,3286743,2.5
java,jdk,2015,12,3431915,2.5
java,jdk,2016,4,3650459,2.5
java,jdk,2016,8,3735653,2.5
java,jdk,2016,12,4026332,2.4
java,jdk,2017,4,4043817,2.4
java,jdk,2017,8,4094532,2.4
java,jdk,2017,12,4135549,2.4
